PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CH4,N1bar_CH4,log_D0_CH4,log_D1bar_CH4
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,18.71111786,0.966553761,-5.563022198,-5.190821281
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,18.62921307,1.000706932,-5.513767364,-5.072660279
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,10.84098807,1.037599388,-3.433092036,-3.382353659
13.71867,18.8079,1.370971093,2380.22,0.75256,1.115943598,14.94972073,1.047255631,-3.918805746,-3.835773249
3.9715,4.73097,1.191230014,316.992,0.47138,0.247260558,17.26899355,0.4238105,-3.826049454,-4.173946244
3.92183,4.69665,1.197565932,272.424,0.46724,0.237223424,17.49229449,0.413723701,-3.957427305,-4.157568621
3.82431,4.33176,1.132690603,290.352,0.44506,0.330504006,20.7281284,0.836736419,-3.406403935,-4.394382034
4.03039,5.07969,1.260347014,988.368,0.61912,0.534493624,17.19729401,1.472676719,-3.763019317,-3.98297336
8.27985,8.50423,1.027099525,977.119,0.58898,0.525537155,12.74922056,0.452227972,-3.451586011,-3.529537437
6.10482,6.86398,1.124354199,840.2,0.51508,0.422643615,16.67643927,1.015820225,-3.999318116,-4.031405768
4.17956,5.49574,1.314908746,753.406,0.53518,0.407498496,15.3268202,0.509120744,-4.127690639,-4.395192048
7.03071,8.25776,1.174527181,1635.07,0.64752,0.588151943,13.39072944,0.869562954,-3.659243781,-3.724953266
4.65537,7.1439,1.534550422,1317.57,0.60312,0.524798998,16.87624935,1.574026845,-4.093883231,-4.197410205
3.89327,5.20085,1.335856491,919.536,0.5576,0.48294618,20.20241693,2.513491396,-4.550162061,-4.801641494
3.94888,5.20115,1.317120297,859.911,0.55324,0.439246697,20.21471892,2.297437091,-4.318732494,-4.585919135
5.53552,8.42183,1.521416236,2318.74,0.68256,0.790538921,13.14877882,1.072739434,-3.639545982,-3.682089571
4.98474,7.43431,1.491413795,1258.54,0.5899,0.544017559,16.83066696,1.327045965,-4.098386268,-4.132829561
10.4443,11.38761,1.090318164,982.267,0.57586,0.560256847,30.18886463,1.441889634,-5.634655233,-4.984598395
5.80535,7.28268,1.254477336,601.112,0.50044,0.430615669,16.51907395,0.694500899,-3.850952886,-3.969225413
4.59021,6.64699,1.448079717,929.278,0.5298,0.478638347,20.660454,2.662111237,-3.701516,-4.449724429
5.43889,6.29847,1.158043277,664.428,0.50736,0.455742594,14.84257638,0.448230477,-4.172951659,-4.190642454
6.88163,13.37732,1.943917357,2601.94,0.74408,0.925151595,11.2562119,0.618247274,-3.826469306,-3.825057737
5.0609,12.13124,2.397051908,2130.9,0.69536,0.765209889,14.96033117,1.013098858,-3.856024986,-3.847987194
8.11021,14.70209,1.812787832,3347.01,0.81698,1.299772813,6.971069668,0.310516601,-3.47093642,-3.439082086
15.85622,20.5205,1.294160903,4866.62,0.89086,3.019843933,5.662625301,0.411289948,-3.033255186,-3.062404517
10.92309,21.62414,1.979672419,4183.97,0.85002,1.951346053,10.27002333,0.657354648,-3.401330839,-3.405623603
6.60024,18.23438,2.762684387,3371.44,0.76974,1.223263849,11.01830629,0.841851686,-3.490145627,-3.464334123
6.71346,18.07263,2.691999357,3391.08,0.77286,1.223576721,11.62813648,0.944548881,-3.47456665,-3.485623264
13.33904,27.33782,2.049459331,6255.09,0.89344,3.741733919,5.802736962,0.578973799,-3.07990352,-3.109879781
12.17426,24.55082,2.016617026,4551.51,0.87,2.304165773,8.720533272,0.55812097,-3.299237554,-3.310599138
9.07611,10.5421,1.161521841,3367.6,0.73488,1.162643159,14.54273143,1.061255923,-3.928118045,-3.892924016
8.80719,10.21446,1.159786493,3268.72,0.72402,1.104803933,15.31193102,1.154156595,-4.061388604,-3.981487566
8.70819,10.15021,1.165593539,3321.14,0.72628,1.106682026,14.96747968,1.133825614,-3.990335411,-3.955396436
4.10445,5.76724,1.405118834,869.785,0.50398,0.398898237,19.53229659,2.062862077,-3.587928061,-3.910868384
5.00855,5.72682,1.143408771,774.948,0.49644,0.387655979,19.03575564,1.743965513,-3.906091691,-4.804532895
3.91364,4.43355,1.132845637,405.691,0.48232,0.389712596,26.68710867,4.539643613,-4.192045782,-5.901842263
3.86825,5.46006,1.411506495,183.716,0.45158,0.265549381,18.94816875,0.58017215,-3.442437794,-3.899229919
