Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
0.965,0.314,38.52663,40.32609,5384.56,0.94622,7.57066848,4.419724546,4.09759735
1.306,0.166,17.86469,19.80907,6262.72,0.91098,4.446602984,4.406716786,0.088134617
0.965,0.314,6.39006,6.77242,1385.26,0.61286,0.584204757,13.950246,4.100511352
0.75,0.29,8.92553,12.51792,3377.53,0.80584,1.324455854,8.351489019,4.041708399
1.241,0.225,25.76811,28.10783,3590.45,0.86636,2.390255342,7.532136436,-0.414539775
1.241,0.225,5.42433,7.17053,1477.28,0.59084,0.623695005,16.67235555,-0.414539495
1.306,0.166,5.85889,6.71051,1604.53,0.60748,0.573462221,16.78526576,0.08813474
1.306,0.166,6.59726,9.36325,1069.71,0.63646,0.44213656,11.41978788,0.088135585
1.33,0.104,3.80687,4.54974,1105.83,0.57982,0.516534227,17.55559076,1.322202751
1.33,0.104,7.24483,9.80418,3085.39,0.74164,1.095061121,11.99559376,1.322192588
0.75,0.29,7.05614,9.84356,2144.78,0.69802,0.765738884,11.63891087,4.032999843
1.33,0.104,7.94511,15.05129,3807.69,0.80684,1.409829878,7.214859368,1.322181348
1.241,0.225,4.42981,6.94884,1236.81,0.5983,0.494720392,12.99939587,-0.414540058
1.22,0.25,19.11558,21.05514,4680.32,0.83672,2.497679098,9.937021765,3.667973135
1.44,0.2104,11.20267,15.42527,2232.21,0.69194,0.870985974,17.45140742,0.99121822
0.75,0.29,16.59805,18.33156,5380.77,0.87114,2.716539853,6.870712494,4.045036583
1.09,0.26,16.17921,20.32107,4117.38,0.89692,2.580374173,4.729307103,2.33965193
1.44,0.2104,11.07962,15.63188,4420.14,0.84344,1.990076046,5.890858973,0.991214529
1.33,0.104,14.59248,17.29075,5455.98,0.86424,2.602121465,5.899009403,1.322186171
1.09,0.26,8.8261,13.70298,4017.36,0.81348,1.584446141,7.097965559,2.339563337
0.965,0.314,10.48172,15.53234,4101.54,0.80152,1.743260937,13.24480553,4.086439963
0.75,0.29,5.40382,6.42465,1855.47,0.64804,0.670305539,13.78833225,4.050255513
1.22,0.25,10.6662,12.21539,4621.92,0.82578,1.780538659,8.703436981,3.669206631
1.44,0.2104,5.01285,7.16272,386.347,0.43186,0.223459467,18.26269122,0.991217281
0.965,0.314,23.39559,26.2303,5948.97,0.92204,5.061898514,5.115260793,4.09076592
1.22,0.25,3.81829,4.68942,534.254,0.51702,0.417153461,21.32696921,3.667272093
1.22,0.25,30.96836,34.0533,7320.19,0.93934,7.165775401,3.791738111,3.67078853
1.241,0.225,12.21504,15.71837,3688.95,0.85764,1.859011319,6.70221379,-0.414539766
0.965,0.314,15.93331,28.55077,6186.72,0.91292,4.610613927,4.279220566,4.088527985
1.44,0.2104,4.21433,4.92676,2110.48,0.65442,0.736224064,15.40781195,0.99121371
1.22,0.25,26.09798,26.31371,1372.03,0.75088,1.08282248,9.456315653,3.672276919
1.418,0.152,22.06864,26.65095,6938.53,0.93716,6.361044744,3.30323378,0.118098198
0.965,0.314,5.13983,5.91316,884.186,0.5329,0.431651763,16.9648525,4.08054998
1.33,0.104,19.54488,22.65152,5169.56,0.89718,3.866022028,7.538105242,1.322197835
1.306,0.166,12.15221,18.56256,5553.15,0.8773,2.918884748,5.368926589,0.088134563
1.22,0.25,16.2917,19.68339,5593.73,0.88626,3.514352672,6.427434629,3.668960882
1.306,0.166,6.1221,8.26177,2403.46,0.6859,0.802129344,10.44092557,0.088133324
1.241,0.225,4.17994,6.70721,699.97,0.48666,0.438175843,20.09776852,-0.414541643
