PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CH4,log_P_0(CH4),log_P(CH4)
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,18.71111786,-10.32266019,4.247072892
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,18.62921307,-10.26719247,4.393892036
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,10.84098807,-8.407348001,5.885164132
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,14.94972073,-8.808451763,5.488522629
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,17.26899355,-9.084266971,5.208786064
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,17.49229449,-9.230036532,5.228868512
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,20.7281284,-8.275266661,5.132792761
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,17.19729401,-8.49547449,5.724310653
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,12.74922056,-8.771710422,5.650661395
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,16.67643927,-8.924849104,5.536655749
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,15.3268202,-9.340520027,4.905346897
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,13.39072944,-8.678455297,5.731455702
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,16.87624935,-8.777160341,5.535356951
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,20.20241693,-8.870313702,5.136404227
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,20.21471892,-8.669786338,5.350873849
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,13.14877882,-8.564820943,5.759966539
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,16.83066696,-8.87417704,5.500566172
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,30.18886463,-9.654122844,4.661607652
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,16.51907395,-8.93969564,5.413053874
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,20.660454,-7.883301987,5.494950522
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,14.84257638,-9.475188061,4.982799821
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,11.2562119,-9.013158585,5.34685549
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,14.96033117,-8.762407212,5.59143805
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,6.971069668,-8.974881774,5.326691001
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,5.662625301,-8.414701927,5.496912826
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,10.27002333,-8.557944807,5.526615273
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,11.01830629,-8.538764876,5.735069664
