PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,22.93641742,1.478861023,-5.29026551,-4.877982858
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,22.58132419,1.487568728,-5.317268751,-4.76580968
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,15.2352806,2.782973087,-3.693901825,-3.784894244
13.71867,18.8079,1.370971093,2380.22,0.75256,1.115943598,27.77139882,2.653716691,-4.677213667,-4.250323904
3.9715,4.73097,1.191230014,316.992,0.47138,0.247260558,43.43946923,3.710694967,-5.419029942,-6.385333141
3.92183,4.69665,1.197565932,272.424,0.46724,0.237223424,32.93899189,3.135664774,-4.745609564,-5.878926543
3.82431,4.33176,1.132690603,290.352,0.44506,0.330504006,28.27665773,1.5820133,-3.926853841,-5.191578273
4.03039,5.07969,1.260347014,988.368,0.61912,0.534493624,23.32442884,4.851972245,-3.834844725,-4.335382936
8.27985,8.50423,1.027099525,977.119,0.58898,0.525537155,20.03166121,2.212527195,-3.927554422,-4.077428982
5.74044,6.1865,1.077704845,660.873,0.48676,0.374004979,20.93799147,2.1051262,-4.094146683,-4.835217796
6.10482,6.86398,1.124354199,840.2,0.51508,0.422643615,20.7906238,2.268391272,-3.962028219,-4.435798246
4.17956,5.49574,1.314908746,753.406,0.53518,0.407498496,21.51779445,1.626867812,-4.525468867,-4.788971725
3.73403,5.10081,1.366033481,365.94,0.46902,0.270305161,21.5778089,1.043043489,-4.657791026,-5.265477005
7.03071,8.25776,1.174527181,1635.07,0.64752,0.588151943,17.56302954,2.538211423,-3.896600242,-4.030017864
3.78801,6.08481,1.606334197,934.503,0.53896,0.476336094,25.20184847,4.485914183,-4.290378694,-5.158415009
4.65537,7.1439,1.534550422,1317.57,0.60312,0.524798998,22.24444074,3.960547813,-4.244594916,-4.465684209
3.89327,5.20085,1.335856491,919.536,0.5576,0.48294618,25.63762316,4.652521338,-4.401707874,-5.033262195
3.94888,5.20115,1.317120297,859.911,0.55324,0.439246697,25.70976237,4.307601668,-4.286080924,-4.928243663
5.53552,8.42183,1.521416236,2318.74,0.68256,0.790538921,17.76456526,3.186005333,-3.902431597,-4.035372076
4.98474,7.43431,1.491413795,1258.54,0.5899,0.544017559,20.95922899,3.41483694,-4.181572145,-4.50915793
10.4443,11.38761,1.090318164,982.267,0.57586,0.560256847,29.34170707,4.1657006,-4.960804858,-4.829426014
5.80535,7.28268,1.254477336,601.112,0.50044,0.430615669,20.81429761,1.749331089,-4.24345085,-4.53352166
4.59021,6.64699,1.448079717,929.278,0.5298,0.478638347,25.10362763,4.295711418,-4.033962878,-4.826704655
5.43889,6.29847,1.158043277,664.428,0.50736,0.455742594,27.64855422,3.206988496,-4.793401798,-5.279110932
6.88163,13.37732,1.943917357,2601.94,0.74408,0.925151595,42.02649469,5.775718151,-6.345153086,-4.700574775
5.0609,12.13124,2.397051908,2130.9,0.69536,0.765209889,19.94427029,2.505635712,-4.126648825,-4.115171689
8.11021,14.70209,1.812787832,3347.01,0.81698,1.299772813,10.07865906,0.554187323,-3.757019886,-3.76276815
15.85622,20.5205,1.294160903,4866.62,0.89086,3.019843933,8.929412146,0.707039247,-3.381429425,-3.425932758
10.92309,21.62414,1.979672419,4183.97,0.85002,1.951346053,17.16940309,1.799578952,-3.926501952,-3.793853285
6.60024,18.23438,2.762684387,3371.44,0.76974,1.223263849,16.88711633,2.760811098,-3.833244729,-3.871751591
6.71346,18.07263,2.691999357,3391.08,0.77286,1.223576721,16.38352944,2.313629152,-3.89536266,-3.845937308
13.33904,27.33782,2.049459331,6255.09,0.89344,3.741733919,8.929177775,0.991871007,-3.406342876,-3.416432583
12.17426,24.55082,2.016617026,4551.51,0.87,2.304165773,14.60029204,1.482609822,-3.742767592,-3.646029554
9.07611,10.5421,1.161521841,3367.6,0.73488,1.162643159,18.88460643,3.03768807,-4.012081589,-4.076279474
8.80719,10.21446,1.159786493,3268.72,0.72402,1.104803933,19.96851466,3.473871794,-4.102090754,-4.170461799
8.70819,10.15021,1.165593539,3321.14,0.72628,1.106682026,19.98926766,3.659311267,-4.040096627,-4.141228296
4.10445,5.76724,1.405118834,869.785,0.50398,0.398898237,26.55732116,3.824127608,-3.899237436,-4.490000016
