PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CO2,N1bar_CO2
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,22.93641742,1.478861023
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,42.85714286,14.28571429,0,28.57142857,7.142857143,7.142857143,22.58132419,1.487568728
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,53.06122449,36.73469388,8.163265306,0,0,2.040816327,15.2352806,2.782973087
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,50,25,0,20,0,2.5,27.77139882,2.653716691
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,38.88888889,11.11111111,11.11111111,33.33333333,0,5.555555556,43.43946923,3.710694967
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,38.88888889,11.11111111,11.11111111,33.33333333,0,5.555555556,32.93899189,3.135664774
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,44.94382022,31.46067416,11.23595506,8.988764045,0,3.370786517,28.27665773,1.5820133
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,42.85714286,25,0,25,0,7.142857143,23.32442884,4.851972245
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,34.28571429,48.57142857,5.714285714,5.714285714,2.857142857,2.857142857,20.03166121,2.212527195
5.74044,6.1865,660.873,0.48676,1.30148,0.374004979,37.93103448,41.37931034,3.448275862,13.79310345,0,3.448275862,20.93799147,2.1051262
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,37.70491803,42.62295082,3.278688525,13.1147541,0,3.278688525,20.7906238,2.268391272
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,35.18518519,37.03703704,3.703703704,18.51851852,0,5.555555556,21.51779445,1.626867812
3.73403,5.10081,365.94,0.46902,1.73515,0.270305161,22.22222222,22.22222222,0,44.44444444,0,11.11111111,21.5778089,1.043043489
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,45,15,0,32.5,0,7.5,17.56302954,2.538211423
3.78801,6.08481,934.503,0.53896,1.13147,0.476336094,48.8372093,30.23255814,0,16.27906977,0,2.325581395,25.20184847,4.485914183
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,48.86363636,28.40909091,0,18.18181818,0,2.272727273,22.24444074,3.960547813
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,36.7816092,41.37931034,13.79310345,4.597701149,2.298850575,1.149425287,25.63762316,4.652521338
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,36.7816092,41.37931034,13.79310345,4.597701149,2.298850575,1.149425287,25.70976237,4.307601668
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,45.61403509,35.0877193,0,16.66666667,0,2.631578947,17.76456526,3.186005333
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,20.95922899,3.41483694
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,29.34170707,4.1657006
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,47.05882353,31.37254902,19.60784314,0,0,1.960784314,20.81429761,1.749331089
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,49.64539007,34.04255319,5.673758865,8.510638298,0,2.127659574,25.10362763,4.295711418
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,43.90243902,39.02439024,4.87804878,9.756097561,0,2.43902439,27.64855422,3.206988496
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,47.19101124,31.46067416,0,17.97752809,0,3.370786517,42.02649469,5.775718151
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,27.11864407,20.33898305,33.89830508,13.55932203,0,5.084745763,19.94427029,2.505635712
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,45.28301887,22.64150943,0,24.52830189,0,7.547169811,10.07865906,0.554187323
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,45.87155963,22.01834862,7.339449541,21.10091743,0,3.669724771,8.929412146,0.707039247
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,46.39175258,21.64948454,12.37113402,13.40206186,0,6.18556701,17.16940309,1.799578952
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,47.82608696,26.08695652,0,21.73913043,0,4.347826087,16.88711633,2.760811098
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,47.82608696,26.08695652,0,21.73913043,0,4.347826087,16.38352944,2.313629152
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,57.93103448,31.03448276,0.689655172,8.275862069,0,2.068965517,8.929177775,0.991871007
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,44.03669725,22.01834862,13.76146789,14.67889908,0,5.504587156,14.60029204,1.482609822
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,45.0867052,41.61849711,11.56069364,0,0,1.734104046,18.88460643,3.03768807
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,45.0867052,41.61849711,11.56069364,0,0,1.734104046,19.96851466,3.473871794
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,45.0867052,41.61849711,11.56069364,0,0,1.734104046,19.98926766,3.659311267
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,26.55732116,3.824127608
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,46.42857143,28.57142857,3.571428571,17.85714286,0,3.571428571,23.44267981,3.099890012
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,45.71428571,34.28571429,5.714285714,11.42857143,0,2.857142857,33.21101183,4.840222542
3.76596,5.54673,215.634,0.46628,1.63796,0.284671176,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,28.61836196,1.903470685
3.76943,5.50949,213.902,0.46626,1.63796,0.284658966,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,28.15597983,1.888984959
3.85295,5.48974,203.839,0.44944,1.71617,0.261885478,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,30.13824304,1.87696661
3.86825,5.46006,183.716,0.45158,1.70055,0.265549381,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,29.17280454,1.818413849
3.85093,5.42762,187.69,0.45174,1.70055,0.265643468,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,29.2269261,1.825699248
3.82956,5.38842,185.373,0.45112,1.74701,0.258224051,29.19708029,23.35766423,5.839416058,27.73722628,0.729927007,13.13868613,30.23106025,1.821880849
4.9065,10.017,1816.8,0.67828,1.03876,0.65297085,35.29411765,17.64705882,17.64705882,20.58823529,0,8.823529412,21.061931,3.366497286
5.30365,5.97541,753.379,0.53846,1.21661,0.442590477,46.01769912,35.39823009,0,16.81415929,0,1.769911504,23.28649283,3.22331774
5.31331,5.9443,687.652,0.52528,1.28796,0.407838753,46.01769912,35.39823009,0,16.81415929,0,1.769911504,23.75503521,3.111298514
5.29096,5.93338,677.01,0.52144,1.31573,0.396312313,46.01769912,35.39823009,0,16.81415929,0,1.769911504,23.98176548,3.10733466
17.12424,25.68553,3165.13,0.84016,0.402567,2.087006635,47.72727273,29.54545455,6.818181818,13.63636364,0,2.272727273,10.7368373,0.814482913
5.37167,7.3314,1146.88,0.55594,1.01683,0.546738393,51.11111111,35.55555556,2.222222222,8.888888889,0,2.222222222,23.47724891,3.277682523
5.08524,7.14066,876.407,0.5421,1.32285,0.409797029,53.84615385,25.64102564,2.564102564,10.25641026,5.128205128,2.564102564,22.75035434,2.565994868
4.52097,6.3306,965.88,0.55848,1.12223,0.497651996,35.29411765,35.29411765,23.52941176,0,0,5.882352941,22.71075062,1.907649499
4.7481,6.43864,1003.43,0.5662,1.12574,0.502958054,35.29411765,35.29411765,23.52941176,0,0,5.882352941,22.98601793,1.903897446
6.81408,8.80212,1422.51,0.62122,1.05969,0.586228048,52.5,30,0,15,0,2.5,36.12068606,5.991202394
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,52.5,30,0,15,0,2.5,43.61574576,6.869181507
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,52.5,30,0,15,0,2.5,27.41935533,5.385992167
5.81418,5.92566,308.504,0.4119,1.68224,0.244852102,31.57894737,21.05263158,0,42.10526316,0,5.263157895,19.72032581,0.785148005
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,40,32,24,0,0,4,22.71419378,4.242509081
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,20.93280283,3.581900646
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,45.71428571,35.71428571,2.857142857,13.57142857,0,2.142857143,28.92961221,5.159372414
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,47.36842105,15.78947368,0,31.57894737,0,5.263157895,42.60934596,8.323880831
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,34.375,12.5,12.5,34.375,0,6.25,44.79933567,4.625791777
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,45,15,0,31.66666667,0,8.333333333,16.77690101,2.281708581
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,44.24778761,38.9380531,7.079646018,7.079646018,0,2.654867257,18.75760397,2.06299888
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,45.45454545,13.63636364,0,36.36363636,0,4.545454545,20.44077693,2.494490675
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,47.61904762,9.523809524,0,38.0952381,0,4.761904762,15.34980479,2.170836244
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,50.89285714,32.14285714,2.678571429,11.60714286,0,2.678571429,21.53530974,3.333130426
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,49.48453608,30.92783505,3.092783505,13.40206186,0,3.092783505,28.38406213,3.775948324
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,44.7761194,26.86567164,4.47761194,19.40298507,0,4.47761194,30.25631709,5.030346023
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,22.54943818,3.088223147
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,16,18,0,48,0,10,28.54793816,0.989722821
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,0,3.03030303,25.81413512,3.341609777
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,0,5.617977528,21.81823316,1.18419807
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,46.34146341,14.63414634,0,19.51219512,14.63414634,4.87804878,23.18301798,1.361263793
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,48,30,6,12,2,2,16.69000742,1.651327598
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,0,1.818181818,22.72358231,5.65055979
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,44.94382022,40.4494382,8.988764045,4.494382022,0,1.123595506,26.97146381,3.512988821
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,0,3.092783505,25.1285288,3.531649984
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,0,2.205882353,17.1114033,2.020675025
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,44,24,8,20,0,4,17.39710845,2.573086647
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,44.73684211,26.31578947,0,23.68421053,0,5.263157895,35.62246685,7.415598708
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,0,1.754385965,10.31615345,0.65579269
3.73291,6.8318,952.744,0.53344,1.05182,0.50715902,42.45810056,37.98882682,7.82122905,10.05586592,0,1.675977654,23.8282627,4.263731788
3.71719,6.8305,939.238,0.53354,1.05415,0.506132903,42.45810056,37.98882682,7.82122905,10.05586592,0,1.675977654,23.96932654,4.303306579
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,40,24,16,16,0,4,21.51816943,2.425135511
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,26.45376394,2.356541648
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,26.6155324,2.116697654
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,26.62702444,2.132419942
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,27.18553062,2.068195623
4.48972,4.82905,521.72,0.46842,1.16972,0.40045481,49.18032787,39.3442623,3.278688525,6.557377049,0,1.639344262,27.03831967,3.36004325
3.78436,4.74814,286.858,0.4586,1.30283,0.352002947,41.22137405,38.16793893,9.160305344,9.160305344,0,2.290076336,30.7436706,2.009907667
8.78636,9.98598,3028.97,0.7058,0.771567,0.914761777,51.76470588,37.64705882,4.705882353,0,0.588235294,2.941176471,18.15251628,2.829739134
6.10595,6.92762,1008.65,0.59186,1.43826,0.411511132,42.10526316,5.263157895,0,26.31578947,21.05263158,5.263157895,30.48220371,6.701011904
