Polymer density,FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CO2,log_P(MMM) - CO2
1.306,0.166,4.36886,6.62446,1144.27,0.53822,0.522635024,22.82951341,1.38289664
1.33,0.403,9.22489,11.97495,2250.76,0.7649,0.815965573,14.80537156,-0.876148577
1.33,0.104,3.82948,7.02313,644.836,0.49026,0.367340516,23.77908528,2.76088002
1.418,0.152,8.33442,12.23653,3500.36,0.78174,1.313934863,18.22342333,1.896144861
0.75,0.29,20.532,22.50465,5340.92,0.92502,4.318064055,7.42892814,4.648047622
1.22,0.25,3.69619,7.5494,669.858,0.53312,0.460046253,26.27814201,4.344077598
0.75,0.29,21.1625,22.85867,6112.79,0.90898,4.179487415,8.940792445,4.645250763
1.22,0.25,17.89197,22.56147,6103.03,0.91458,4.498362139,8.511691906,4.357298585
0.965,0.314,14.23302,18.95216,4733.33,0.8659,2.592755615,11.40012475,4.878928102
1.09,0.26,6.25721,7.64843,422.397,0.50722,0.295326319,35.29254648,3.601602901
0.75,0.29,16.67687,20.73716,4601.14,0.8913,2.851083431,18.32364587,4.645069172
1.33,0.403,5.3,12.37,2021.24,0.940935,1.302956156,22.18547865,-0.876148476
1.306,0.166,9.82354,17.30249,3818.7,0.8459,1.655161348,10.03416597,1.382881777
1.09,0.26,8.1071,10.88288,3316.09,0.75128,1.276072453,15.46054247,3.599381179
0.75,0.29,7.15186,7.75334,1003.98,0.55812,0.536287727,35.54270463,4.65448552
0.965,0.314,19.13401,21.90663,6098.12,0.91252,4.03145571,8.061903741,4.873117784
1.44,0.2104,43.23392,48.43183,6348.03,0.96908,13.2552945,5.973843155,2.521617672
0.965,0.314,9.29863,13.79807,5970.74,0.8602,2.576791502,12.71224794,4.870692396
1.241,0.225,16.71748,20.52068,6178.6,0.9155,4.461609688,7.563628627,1.197258019
1.306,0.166,10.6772,15.57478,4316.28,0.83306,1.750221651,8.978062691,1.382876096
1.311,0.149,4.33786,8.62906,1330.97,0.64206,0.501480087,26.12738248,0.604763513
1.33,0.104,6.72932,10.711,2382.92,0.71766,0.879129764,25.97589184,2.761229245
0.965,0.314,7.97129,15.00796,3704.87,0.81292,1.362992373,10.56082478,4.854492205
1.386,0.1057,6.89364,9.14224,1206.55,0.68506,0.503883609,20.03557646,-3.024456616
1.241,0.225,8.09361,10.32873,3553.02,0.76142,1.261773927,19.23563592,1.197255475
1.44,0.2104,4.03207,5.56405,1542.83,0.60148,0.613769507,25.44320093,2.52151243
