PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CO2,log_P_0(CO2),log_P(CO2)
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,22.93641742,-9.658912059,4.744612662
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,22.58132419,-9.711505943,4.872912768
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,15.2352806,-8.304319372,5.911102847
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,27.77139882,-8.880081908,5.477773826
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,43.43946923,-8.180451966,3.939682709
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,32.93899189,-8.539301914,4.387129817
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,28.27665773,-8.065701323,4.61221798
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,23.32442884,-7.871286379,5.889711964
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,20.03166121,-8.608002841,5.792301046
5.74044,6.1865,660.873,0.48676,1.30148,0.374004979,20.93799147,-8.61784412,5.077842127
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,20.7906238,-8.558230178,5.481164384
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,21.51779445,-9.131700686,5.016098694
3.73403,5.10081,365.94,0.46902,1.73515,0.270305161,21.5778089,-9.470408511,4.467506724
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,17.56302954,-8.491320491,5.891617869
3.78801,6.08481,934.503,0.53896,1.13147,0.476336094,25.20184847,-8.076621942,5.022423284
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,22.24444074,-8.418139138,5.667826072
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,25.63762316,-8.120954273,5.172194497
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,25.70976237,-8.024280577,5.281541229
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,17.76456526,-8.404874473,5.879436287
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,20.95922899,-8.52908986,5.534721807
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,29.34170707,-8.864976716,5.277536067
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,20.81429761,-8.959631944,5.249956829
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,25.10362763,-7.757468905,5.325779194
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,27.64855422,-9.046211467,4.748927363
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,42.02649469,-8.921191626,5.441782234
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,19.94427029,-8.577044836,5.71751966
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,10.07865906,-9.018317001,5.254576701
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,8.929412146,-8.539531488,5.368680012
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,17.16940309,-8.574039645,5.575756758
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,16.88711633,-8.38051247,5.843453303
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,16.38352944,-8.495336109,5.794170352
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,8.929177775,-8.417303963,5.433359392
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,14.60029204,-8.544214968,5.577347138
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,18.88460643,-8.487823112,5.682377977
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,19.96851466,-8.50466983,5.662161627
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,19.98926766,-8.415059041,5.714596573
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,26.55732116,-7.609822414,5.669427833
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,23.44267981,-8.426820445,5.051444467
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,33.21101183,-6.743728283,5.034988843
