PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst H2,N1bar_H2,log_D0_H2,log_D1bar_H2
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,3.926129976,0.046648855,-3.555414694,-3.564084863
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,3.955907716,0.046459357,-3.442306122,-3.410739312
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,3.130916308,0.08919632,-2.627365618,-2.67882961
13.71867,18.8079,1.370971093,2380.22,0.75256,1.115943598,2.915032541,0.071175062,-2.542193792,-2.625474366
3.9715,4.73097,1.191230014,316.992,0.47138,0.247260558,5.19319661,0.015186695,-2.903064936,-2.722936802
3.92183,4.69665,1.197565932,272.424,0.46724,0.237223424,5.243914814,0.014838702,-2.928186064,-2.843079687
3.82431,4.33176,1.132690603,290.352,0.44506,0.330504006,6.256120367,0.016485082,-2.776416203,-2.849564393
4.03039,5.07969,1.260347014,988.368,0.61912,0.534493624,5.135335529,0.04305823,-3.00236953,-2.8795426
8.27985,8.50423,1.027099525,977.119,0.58898,0.525537155,3.495379991,0.027014612,-2.62004989,-2.699233654
6.10482,6.86398,1.124354199,840.2,0.51508,0.422643615,4.609724325,0.026828221,-2.839236751,-2.974697082
4.17956,5.49574,1.314908746,753.406,0.53518,0.407498496,4.314803319,0.019835167,-3.180281798,-3.264639645
7.03071,8.25776,1.174527181,1635.07,0.64752,0.588151943,3.772789444,0.043174745,-2.86177011,-2.893017305
4.65537,7.1439,1.534550422,1317.57,0.60312,0.524798998,4.605382761,0.045785192,-3.151364824,-3.124131854
3.89327,5.20085,1.335856491,919.536,0.5576,0.48294618,5.76727531,0.044611673,-3.11304477,-3.2097405
3.94888,5.20115,1.317120297,859.911,0.55324,0.439246697,5.806399866,0.041119606,-3.045502232,-2.996466717
5.53552,8.42183,1.521416236,2318.74,0.68256,0.790538921,3.607345351,0.059158343,-2.881568807,-2.746660891
4.98474,7.43431,1.491413795,1258.54,0.5899,0.544017559,4.698387304,0.04211019,-3.172560081,-3.137182158
10.4443,11.38761,1.090318164,982.267,0.57586,0.560256847,4.758668038,0.037142417,-2.735230627,-2.782281727
5.80535,7.28268,1.254477336,601.112,0.50044,0.430615669,4.745423033,0.020426375,-3.005264637,-3.295825715
4.59021,6.64699,1.448079717,929.278,0.5298,0.478638347,5.892652575,0.048032015,-2.927245783,-3.006880723
5.43889,6.29847,1.158043277,664.428,0.50736,0.455742594,4.088996897,0.019194803,-3.264208823,-3.344024958
6.88163,13.37732,1.943917357,2601.94,0.74408,0.925151595,2.781205886,0.061318851,-2.854728849,-2.875070853
5.0609,12.13124,2.397051908,2130.9,0.69536,0.765209889,3.611754359,0.053777151,-2.88619147,-2.934876344
8.11021,14.70209,1.812787832,3347.01,0.81698,1.299772813,1.824916442,0.071648354,-2.633934169,-2.566852148
15.85622,20.5205,1.294160903,4866.62,0.89086,3.019843933,1.116161533,0.14481918,-2.230896857,-2.249296279
10.92309,21.62414,1.979672419,4183.97,0.85002,1.951346053,1.770427192,0.108780424,-2.472056935,-2.307548981
6.60024,18.23438,2.762684387,3371.44,0.76974,1.223263849,2.70116007,0.083744868,-2.692198362,-2.690492733
6.71346,18.07263,2.691999357,3391.08,0.77286,1.223576721,2.784352766,0.085989302,-2.671738285,-2.646246295
13.33904,27.33782,2.049459331,6255.09,0.89344,3.741733919,1.215807978,0.188771175,-2.203779515,-2.197730936
12.17426,24.55082,2.016617026,4551.51,0.87,2.304165773,1.497375271,0.122516254,-2.373424984,-2.311315584
9.07611,10.5421,1.161521841,3367.6,0.73488,1.162643159,3.160065427,0.077055292,-2.735513488,-2.700476611
8.80719,10.21446,1.159786493,3268.72,0.72402,1.104803933,3.309280036,0.074944705,-2.779712833,-2.830208052
8.70819,10.15021,1.165593539,3321.14,0.72628,1.106682026,3.338800149,0.076236822,-2.765616522,-2.792980596
4.10445,5.76724,1.405118834,869.785,0.50398,0.398898237,5.83813188,0.041555427,-2.770704052,-2.848736415
5.00855,5.72682,1.143408771,774.948,0.49644,0.387655979,5.508314748,0.035714706,-3.266486322,-3.215245709
3.91364,4.43355,1.132845637,405.691,0.48232,0.389712596,7.794556584,0.052425762,-2.783954007,-2.58400248
3.86825,5.46006,1.411506495,183.716,0.45158,0.265549381,5.524622603,0.015882799,-3.033491832,-3.047643165
3.85093,5.42762,1.409430969,187.69,0.45174,0.265643468,5.528817395,0.01559951,-3.050625213,-3.033058666
4.9065,10.017,2.041577499,1816.8,0.67828,0.65297085,3.155985177,0.040314692,-2.927357265,-2.842410201
5.30365,5.97541,1.126659942,753.379,0.53846,0.442590477,5.405509125,0.034730703,-2.826925918,-3.000083222
5.31331,5.9443,1.118756481,687.652,0.52528,0.407838753,5.529942802,0.034276971,-2.456131691,-2.490231436
5.29096,5.93338,1.121418419,677.01,0.52144,0.396312313,5.594191229,0.033373739,-2.448133002,-2.431702733
17.12424,25.68553,1.499951531,3165.13,0.84016,2.087006635,1.451472615,0.107227985,-2.166758394,-2.173322823
5.37167,7.3314,1.364826953,1146.88,0.55594,0.546738393,4.876867197,0.039848083,-3.054751782,-3.119952611
5.08524,7.14066,1.404193312,876.407,0.5421,0.409797029,4.736381802,0.028905051,-3.029215075,-3.049703825
4.52097,6.3306,1.40027472,965.88,0.55848,0.497651996,4.617418245,0.030460344,-3.298276656,-3.461533861
4.7481,6.43864,1.356045576,1003.43,0.5662,0.502958054,4.602370986,0.030714999,-3.164004207,-3.268711086
6.81408,8.80212,1.29175472,1422.51,0.62122,0.586228048,4.440902781,0.049149814,-3.004507489,-2.989322255
6.54754,8.32882,1.272053321,1419.5,0.61562,0.591504367,4.538883594,0.050994561,-3.022301617,-3.020271668
6.74118,8.79334,1.304421481,1353.64,0.61642,0.563043478,4.507944244,0.048701208,-2.977669038,-3.045573383
8.61929,9.08566,1.054107705,2493.39,0.71372,0.936779339,3.404247096,0.064322903,-2.663230856,-2.773875243
4.95529,7.35231,1.483729509,1409.83,0.58552,0.610461631,4.627249552,0.046343189,-3.150032305,-3.195711973
4.7743,5.96671,1.249755985,1528.32,0.58902,0.613754298,5.168713801,0.054697209,-3.132447308,-2.963027007
4.58891,5.43312,1.183967435,1352.46,0.62754,0.452636666,4.229030345,0.038252043,-2.805726962,-2.720278533
6.25183,6.77693,1.083991407,648.222,0.51648,0.291475493,3.999302201,0.020032515,-2.429921299,-2.482093356
6.85619,10.92956,1.594115682,2101.19,0.68816,0.689283532,3.459202513,0.052277018,-2.768910064,-2.820882082
8.71559,12.6138,1.44726863,3274.82,0.75884,1.30010708,2.562387346,0.079103172,-2.610905177,-2.664470051
4.90729,5.63222,1.147725119,794.401,0.55474,0.385857771,4.560947018,0.028650721,-2.65419815,-2.687946628
5.90611,6.16099,1.043155309,1902.44,0.66248,0.611973802,3.51289116,0.045170587,-2.702586046,-2.736327167
8.64841,12.48057,1.443105727,3204.15,0.7613,1.185437785,2.907593364,0.084002385,-2.765854044,-2.706627834
8.32661,13.59793,1.63306916,2502.53,0.73366,0.983318724,3.430400341,0.072685207,-2.843699185,-2.828861454
4.54136,8.31511,1.830973541,870.726,0.62074,0.521472496,4.907031248,0.049728892,-3.318391286,-3.334882218
4.11181,6.0722,1.476770571,1071.12,0.59632,0.512060453,4.504663136,0.033621644,-3.509741495,-3.519876739
3.90831,4.44036,1.136133009,156.183,0.40324,0.179223354,6.112327259,0.009876998,-2.381756518,-2.503887893
4.32303,5.2765,1.220555953,619.682,0.51092,0.373689869,5.469979415,0.027842479,-3.218323747,-3.287207019
4.89301,7.12611,1.456385742,357.969,0.42696,0.215210291,5.410922722,0.016286389,-2.855053977,-2.667968309
4.85632,5.15455,1.061410698,288.927,0.42748,0.218491089,5.084634016,0.012796835,-2.781006164,-3.115977148
9.1997,9.48255,1.030745568,928.923,0.5582,0.488329776,3.497407961,0.030717385,-2.216625624,-2.467532858
5.31262,5.94406,1.118856609,1651.78,0.585,0.631851129,4.922852358,0.058267588,-2.563260577,-2.580429819
3.80044,4.84557,1.275002368,634.174,0.49344,0.428850783,6.208879535,0.034943097,-3.173227438,-3.041867358
4.38484,5.04792,1.151221025,636.56,0.50342,0.385830453,5.899507432,0.034232434,-3.16862,-3.225895386
14.56862,19.86541,1.363575273,5239.13,0.8979,3.268954219,1.273645207,0.166962007,-2.20790335,-2.177630431
7.13825,18.06508,2.53074353,3583.27,0.78558,1.307595767,2.575264987,0.087090811,-2.625873174,-2.642301434
5.01976,7.8603,1.565871675,1901.19,0.63848,0.651621246,3.571592596,0.045282974,-2.842766904,-2.742910686
13.37911,18.75501,1.401812976,3444.39,0.83558,1.961704066,1.471282564,0.098980325,-2.332270591,-2.237084
6.0951,6.93247,1.137384128,581.981,0.45062,0.308821514,5.145825351,0.02766731,-2.379126019,-2.429054431
9.17864,11.03089,1.201800049,1154.62,0.60242,0.597959224,4.263442593,0.043433054,-2.501189054,-2.608611698
11.07263,11.39418,1.029040074,1175.97,0.6096,0.620543281,4.063360466,0.044027354,-2.419584332,-2.737922834
9.50667,11.07211,1.164667544,1172.55,0.60696,0.613756742,4.104135647,0.04324389,-2.441005096,-2.285177252
10.87494,11.21563,1.031327989,1159.15,0.60852,0.617172136,4.088222889,0.043710096,-2.391692828,-2.455904443
