Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst H2,log_P(MMM)_H2
1.33,0.104,7.48583,9.92059,1118.24,0.5647,0.557833075,4.015181179,2.242078638
1.241,0.225,5.16047,6.75364,2935.51,0.6548,0.819826069,4.625824882,1.630376674
1.241,0.225,31.98662,34.37781,3228.86,0.86258,2.407692737,1.266880106,1.630410522
1.33,0.403,18.18814,25.53851,6183.32,0.93098,5.73539015,0.734211127,0.486819162
1.241,0.225,9.26225,14.84396,4199.21,0.81496,1.669952092,1.987432156,1.630393095
1.311,0.149,6.03948,7.12468,730.309,0.49814,0.380152171,4.581332334,1.774440027
1.33,0.403,19.29771,23.67986,6373.23,0.92722,5.127606744,0.705252751,0.486819097
1.241,0.225,21.52095,24.38299,6048.85,0.93224,5.557218053,0.725814257,1.630414014
1.09,0.26,24.79467,27.98637,7050.06,0.9501,8.138389454,0.536847743,3.35657466
0.75,0.29,31.09958,34.37978,6726.66,0.95,8.166423107,0.55745583,4.132662702
1.22,0.25,6.9107,11.75378,2613.37,0.75402,0.9885455,2.241330999,3.766617567
0.965,0.314,33.73366,38.93815,5671.32,0.96334,10.3737094,0.41606269,4.513657753
1.241,0.225,6.63983,13.19327,2182.23,0.72302,0.820668935,3.350863494,1.630370273
0.965,0.314,25.0165,27.99629,6122.76,0.94274,6.941609602,0.653551786,4.510500988
1.386,0.1057,26.69527,28.10248,3933.18,0.8767,2.622055534,1.200424685,-1.02056549
1.33,0.403,6.08998,6.42929,4194.52,0.70336,0.964431647,3.864207158,0.486818086
1.241,0.225,5.0533,8.25723,1124.28,0.62336,0.432087726,3.156492333,1.630272483
1.09,0.26,13.55408,20.16749,5871.46,0.8863,3.425102216,1.205463252,3.355812358
1.418,0.152,8.8431,14.54847,5215.83,0.83298,2.129316251,1.730534014,2.177426451
1.44,0.2104,10.4477,13.13322,4386.3,0.83134,1.864162401,1.518424638,2.564941523
1.09,0.26,8.88093,13.63271,3022.97,0.78598,1.218360194,1.77685441,3.354585687
1.22,0.25,9.87932,17.61363,4958.38,0.84446,2.29648807,1.42699703,3.770430319
1.09,0.26,7.62763,8.30771,1338.91,0.66736,0.546232863,4.033284133,3.351898578
1.33,0.104,5.11399,7.32397,436.516,0.457,0.257958907,5.015486577,2.242536579
1.386,0.1057,14.10351,20.2134,4991.26,0.87946,2.897659692,1.24178563,-1.020565486
1.09,0.26,6.74065,10.73224,4255.11,0.75836,1.340427036,2.505739942,3.354417509
1.33,0.104,4.61744,7.01096,1015.75,0.59098,0.586930182,4.958240601,2.242375175
1.306,0.166,11.72979,15.03194,3939.93,0.86008,1.839507229,1.281865,1.268332936
1.33,0.104,4.66315,5.64071,1053.73,0.5456,0.466847496,4.606799436,2.242273034
1.386,0.1057,5.40028,6.57121,1507.53,0.63392,0.468432253,3.870551553,-1.020565547
0.75,0.29,40.53604,46.69477,6658.42,0.97084,14.52740011,0.348853225,4.133939873
1.09,0.26,6.02223,12.08323,5188.58,0.79652,1.608822549,2.510585102,3.355161899
1.311,0.149,17.51395,17.92516,2638.6,0.76272,1.42152112,2.538292023,1.774490731
0.75,0.29,22.92675,27.28733,6531.3,0.94252,6.966921684,0.639335985,4.131765516
1.22,0.25,12.94636,16.07409,5350.76,0.864,2.756789871,1.477337162,3.770998607
1.311,0.149,11.90449,18.63245,5837.3,0.86136,2.743315763,1.40838608,1.774471249
1.33,0.104,6.54754,8.32882,1419.5,0.61562,0.591504367,4.538883594,2.242577443
1.09,0.26,5.70388,7.44729,2262.58,0.66684,0.754528256,3.984026828,3.353036945
1.306,0.166,4.18127,5.96324,1751.03,0.60948,0.616394093,5.026445068,1.2682993
1.44,0.2104,5.11399,7.32397,436.516,0.457,0.257958907,5.015486577,2.564205874
1.241,0.225,3.85397,5.84014,651.999,0.5233,0.348170326,4.547988109,1.630169399
1.33,0.403,33.1177,35.42665,3004.59,0.88044,2.303532324,1.021606286,0.486818788
1.306,0.166,27.11439,28.83168,3843.32,0.86598,2.62940078,1.252651985,1.268331885
1.33,0.104,21.57005,25.1666,6516.44,0.92532,5.261954723,0.774424288,2.242981504
0.965,0.314,5.30054,7.18071,1772.64,0.63984,0.623230897,4.308696339,4.361856817
1.22,0.25,15.88587,19.73001,5097.45,0.90406,3.397865951,0.925364738,3.772297953
1.22,0.25,6.27636,18.41528,3197.7,0.78852,1.40267364,2.030801481,3.76618218
1.09,0.26,8.36997,13.02938,2320.75,0.7087,0.857734863,2.308055379,3.349334177
