PLD,LCD,ASA,Porosity,Density,Pore volume,Qst H2,log_P_0(H2),log_P(H2)
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,3.926129976,-9.88603923,4.557424281
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,3.955907716,-9.775939797,4.722579288
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,3.130916308,-8.678710141,5.523005408
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,2.915032541,-8.689198075,5.531096662
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,5.19319661,-9.715857358,5.214087053
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,5.243914814,-9.756304638,5.098042968
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,6.256120367,-9.562762999,4.972112829
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,5.135335529,-9.361793692,5.293690162
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,3.495379991,-9.184367937,5.257206497
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,4.609724325,-9.415386563,5.015139454
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,4.314803319,-9.883276762,4.626514378
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,3.772789444,-9.224872185,5.259320415
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,4.605382761,-9.492775389,5.072348208
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,5.76727531,-9.460103534,4.977476329
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,5.806399866,-9.429344022,5.193131582
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,3.607345351,-9.109900501,5.436916972
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,4.698387304,-9.548307902,4.997714806
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,4.758668038,-9.162577388,5.274862457
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,4.745423033,-9.692017677,4.554972064
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,5.892652575,-9.247479123,5.194098831
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,4.088996897,-9.976597418,4.461099603
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,2.781205886,-9.066059984,5.293274171
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,3.611754359,-9.148425714,5.22949486
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,1.824916442,-8.783300798,5.562042331
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,1.116161533,-8.070248282,5.856699054
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,1.770427192,-8.434033195,5.843440904
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,2.70116007,-8.769100514,5.506633673
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,2.784352766,-8.737476741,5.56401204
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,1.215807978,-7.926980058,5.931541523
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,1.497375271,-8.288741486,5.829227945
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,3.160065427,-8.847034081,5.462440132
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,3.309280036,-8.903010147,5.336342543
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,3.338800149,-8.881967576,5.381609702
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,5.83813188,-9.146908102,5.346786811
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,5.508314748,-9.706426584,4.920365942
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,7.794556584,-9.057185244,5.703477387
3.86825,5.46006,183.716,0.45158,1.70055,0.265549381,5.524622603,-9.834351243,4.859217579
3.85093,5.42762,187.69,0.45174,1.70055,0.265643468,5.528817395,-9.851904911,4.865985987
4.9065,10.017,1816.8,0.67828,1.03876,0.65297085,3.155985177,-9.321702122,5.254912655
5.30365,5.97541,753.379,0.53846,1.21661,0.442590477,5.405509125,-9.281542095,5.101126024
5.31331,5.9443,687.652,0.52528,1.28796,0.407838753,5.529942802,-8.925087286,5.630017663
5.29096,5.93338,677.01,0.52144,1.31573,0.396312313,5.594191229,-8.918233185,5.686213197
17.12424,25.68553,3165.13,0.84016,0.402567,2.087006635,1.451472615,-8.137354322,5.937167782
5.37167,7.3314,1146.88,0.55594,1.01683,0.546738393,4.876867197,-9.448394067,4.963047463
5.08524,7.14066,876.407,0.5421,1.32285,0.409797029,4.736381802,-9.5648567,5.008124797
4.52097,6.3306,965.88,0.55848,1.12223,0.497651996,4.617418245,-9.814257419,4.547627109
4.7481,6.43864,1003.43,0.5662,1.12574,0.502958054,4.602370986,-9.679092515,4.745421802
6.81408,8.80212,1422.51,0.62122,1.05969,0.586228048,4.440902781,-9.30759919,5.202722746
6.54754,8.32882,1419.5,0.61562,1.04077,0.591504367,4.538883594,-9.31869216,5.179951245
6.74118,8.79334,1353.64,0.61642,1.0948,0.563043478,4.507944244,-9.289277696,5.156645428
8.61929,9.08566,2493.39,0.71372,0.761887,0.936779339,3.404247096,-8.858841282,5.391725243
4.95529,7.35231,1409.83,0.58552,0.959143,0.610461631,4.627249552,-9.483133548,4.927501591
4.7743,5.96671,1528.32,0.58902,0.9597,0.613754298,5.168713801,-9.391921986,5.232417945
4.58891,5.43312,1352.46,0.62754,1.38641,0.452636666,4.229030345,-9.224554703,5.479612067
6.25183,6.77693,648.222,0.51648,1.77195,0.291475493,3.999302201,-9.127428027,5.54343788
6.85619,10.92956,2101.19,0.68816,0.99837,0.689283532,3.459202513,-9.04653943,5.372064532
8.71559,12.6138,3274.82,0.75884,0.583675,1.30010708,2.562387346,-8.711439256,5.475239229
4.90729,5.63222,794.401,0.55474,1.43768,0.385857771,4.560947018,-9.199479787,5.402195445
5.90611,6.16099,1902.44,0.66248,1.08253,0.611973802,3.51289116,-9.042004184,5.428312798
