PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
4.3226,11.39486,2.636112525,1334.33,0.66554,0.701213538,12.90337428,0.321477016,-4.990317677,-4.899673476
4.5108,11.27344,2.499210783,1339.03,0.6655,0.679589938,12.92120795,0.321844569,-4.890564045,-4.702695405
7.83744,9.47418,1.208836049,3724.87,0.73276,1.226924835,8.136379475,0.394236395,-3.325186515,-3.39434116
13.71867,18.8079,1.370971093,2380.22,0.75256,1.115943598,10.36279417,0.355786054,-3.650729195,-3.649556902
3.9715,4.73097,1.191230014,316.992,0.47138,0.247260558,14.0770393,0.146501032,-3.649334043,-3.639361124
3.92183,4.69665,1.197565932,272.424,0.46724,0.237223424,13.81041778,0.128797932,-3.704669167,-3.898149368
3.82431,4.33176,1.132690603,290.352,0.44506,0.330504006,16.22063034,0.19785987,-3.419866898,-3.721119391
4.03039,5.07969,1.260347014,988.368,0.61912,0.534493624,13.43661357,0.412068944,-3.672293285,-3.824017141
8.27985,8.50423,1.027099525,977.119,0.58898,0.525537155,9.619803621,0.150465241,-3.387224109,-3.425136633
5.74044,6.1865,1.077704845,660.873,0.48676,0.374004979,12.85336566,0.252417866,-3.842818298,-3.830474373
6.10482,6.86398,1.124354199,840.2,0.51508,0.422643615,12.12312198,0.232856362,-3.69824795,-3.733596748
4.17956,5.49574,1.314908746,753.406,0.53518,0.407498496,11.7261727,0.143108121,-4.065034115,-4.167158657
3.73403,5.10081,1.366033481,365.94,0.46902,0.270305161,13.21631427,0.130280676,-4.952706721,-5.042789691
7.03071,8.25776,1.174527181,1635.07,0.64752,0.588151943,10.02839114,0.274342925,-3.660187756,-3.632852535
3.78801,6.08481,1.606334197,934.503,0.53896,0.476336094,14.78543242,0.636511584,-3.792138373,-3.98185022
4.65537,7.1439,1.534550422,1317.57,0.60312,0.524798998,12.49261345,0.422324783,-3.985533693,-4.027076327
3.89327,5.20085,1.335856491,919.536,0.5576,0.48294618,15.37676576,0.660869478,-4.245783149,-4.336192975
