Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst N2,log_P(MMM)_N2
1.418,0.152,11.47188,14.60078,5673.49,0.85808,2.55745542,4.442941304,0.346837731
1.33,0.104,4.15962,9.30827,1446.76,0.6279,0.736219194,10.84854604,1.201982186
1.33,0.104,4.15655,6.77563,1467.46,0.63808,0.596459085,11.87009026,1.201985139
0.75,0.29,16.2031,17.9934,5487.88,0.87444,2.83946889,4.317799279,3.667491973
1.418,0.152,16.11443,21.7122,5310.64,0.8964,3.524928923,3.030269929,0.346838156
1.44,0.2104,7.79711,9.19593,3351.12,0.7791,1.126073716,4.251689602,1.106325416
0.75,0.29,18.0476,20.1236,3744.27,0.85182,2.164022885,5.628420723,3.667806185
1.44,0.2104,3.86327,4.15669,125.199,0.42266,0.130456657,15.16859452,1.106301003
1.22,0.25,7.87152,15.43807,4289.87,0.80632,1.674572385,8.164257611,3.23942592
1.44,0.2104,26.38234,28.77719,6712.28,0.93126,5.727869901,2.486619159,1.106346226
1.418,0.152,27.54073,31.79877,7180.8,0.9523,8.527728775,1.990714014,0.346839611
1.418,0.152,10.92584,14.5114,4572.54,0.8312,1.817045072,7.331818885,0.346836481
1.306,0.166,24.15697,26.1697,6265.47,0.9379,6.265657463,2.558481874,-0.279841354
1.418,0.152,3.65899,4.72303,288.318,0.44666,0.255218243,13.8070023,0.346733485
1.306,0.166,19.5522,22.97411,6109.8,0.91242,4.678501108,3.407412115,-0.279841496
1.44,0.2104,4.77674,7.01351,811.368,0.55298,0.376866511,12.9843092,1.106335478
0.965,0.314,32.33412,42.39807,6642.79,0.96144,11.15909816,1.854881563,3.789147733
1.09,0.26,7.20236,7.55271,545.57,0.44976,0.311709914,11.82664132,2.206527397
1.33,0.104,24.47676,28.44483,4940.17,0.9236,4.75962257,3.80952314,1.202060859
1.22,0.25,15.21082,17.9098,6182.18,0.92068,4.419271071,2.261871764,3.240865797
1.09,0.26,4.4083,6.05951,1681.04,0.62108,0.653385331,12.2089238,2.206312918
0.75,0.29,6.35537,6.73279,2042.84,0.65872,0.63909344,10.70072902,3.671417973
0.75,0.29,4.34741,5.85992,1246.22,0.521,0.454109649,13.09064874,3.672116034
1.22,0.25,6.68187,13.29109,2163.28,0.7204,0.813788772,12.24205654,3.238212675
1.09,0.26,20.04564,22.01303,5498.13,0.87024,2.932777046,7.446776324,2.20647793
0.965,0.314,5.93133,6.98127,890.635,0.52726,0.37123143,11.68475468,3.788285861
0.75,0.29,6.87046,11.2834,2500.95,0.73744,0.8760848,8.390843505,3.662723723
1.22,0.25,9.80954,11.06598,1259.94,0.63874,0.538248926,9.17796508,3.24104423
0.75,0.29,7.60574,8.05582,1646.37,0.63604,0.641977651,9.820079047,3.674600211
1.09,0.26,10.81192,12.88199,3953.42,0.80368,1.51237954,6.637256655,2.206234994
1.241,0.225,4.8515,6.55849,1033.78,0.58632,0.539914361,12.78752198,-0.359023226
1.33,0.104,14.92515,17.56223,5724.54,0.89166,3.407053609,3.73882955,1.202053457
1.22,0.25,3.72004,4.92982,326.283,0.45784,0.258226078,13.63203884,3.195160172
1.306,0.166,5.18074,6.21117,657.788,0.52526,0.270920157,12.36155428,-0.279841772
1.306,0.166,11.2752,14.97727,5112.88,0.85312,2.357870532,6.122189365,-0.279841669
1.418,0.152,11.07374,11.88903,1359.45,0.65134,0.605385209,8.323391569,0.346840105
1.418,0.152,3.9229,15.26539,1770.44,0.66484,0.789095752,12.95105956,0.346832739
1.418,0.152,10.05377,14.72674,4358.19,0.81866,1.830221708,8.486124516,0.34683793
0.965,0.314,8.02511,11.31495,2549.42,0.69652,0.993317228,8.926578332,3.780954456
1.241,0.225,6.69779,16.53276,2255.65,0.7309,0.933043978,10.02260664,-0.359023288
1.44,0.2104,9.10018,10.9406,2760.78,0.73962,1.030474527,11.34994551,1.106315265
0.965,0.314,3.84303,5.28042,474.798,0.51602,0.440903304,14.05268339,3.77238149
