PLD,LCD,ASA,Porosity,Density,Pore volume,Qst N2,log_P_0(N2),log_P(N2)
4.3226,11.39486,1334.33,0.66554,0.949126,0.701213538,12.90337428,-10.43437603,4.060144611
4.5108,11.27344,1339.03,0.6655,0.979267,0.679589938,12.92120795,-10.32876644,4.271196187
7.83744,9.47418,3724.87,0.73276,0.597233,1.226924835,8.136379475,-8.722111462,5.45290364
13.71867,18.8079,2380.22,0.75256,0.674371,1.115943598,10.36279417,-9.079774338,5.205875192
3.9715,4.73097,316.992,0.47138,1.90641,0.247260558,14.0770393,-9.454719811,5.282040156
3.92183,4.69665,272.424,0.46724,1.96962,0.237223424,13.81041778,-9.567996153,4.981486255
3.82431,4.33176,290.352,0.44506,1.34661,0.330504006,16.22063034,-9.083407164,5.17982445
4.03039,5.07969,988.368,0.61912,1.15833,0.534493624,13.43661357,-9.028868246,5.330129335
8.27985,8.50423,977.119,0.58898,1.12072,0.525537155,9.619803621,-9.197542939,5.277140962
5.74044,6.1865,660.873,0.48676,1.30148,0.374004979,12.85336566,-9.401049347,5.161427504
6.10482,6.86398,840.2,0.51508,1.21871,0.422643615,12.12312198,-9.312364745,5.194736022
4.17956,5.49574,753.406,0.53518,1.31333,0.407498496,11.7261727,-9.886485922,4.582223775
3.73403,5.10081,365.94,0.46902,1.73515,0.270305161,13.21631427,-10.81608444,3.786771624
7.03071,8.25776,1635.07,0.64752,1.10094,0.588151943,10.02839114,-9.209987932,5.322549168
3.78801,6.08481,934.503,0.53896,1.13147,0.476336094,14.78543242,-8.91055174,5.350943423
4.65537,7.1439,1317.57,0.60312,1.14924,0.524798998,12.49261345,-9.329241875,5.134325262
3.89327,5.20085,919.536,0.5576,1.15458,0.48294618,15.37676576,-9.362099006,5.021691037
3.94888,5.20115,859.911,0.55324,1.25952,0.439246697,15.41832872,-9.217841536,5.207683256
5.53552,8.42183,2318.74,0.68256,0.863411,0.790538921,9.760143391,-9.075691913,5.296199829
4.98474,7.43431,1258.54,0.5899,1.08434,0.544017559,12.37304326,-9.415956617,5.018257042
10.4443,11.38761,982.267,0.57586,1.02785,0.560256847,20.48438338,-9.455245201,4.566797833
5.80535,7.28268,601.112,0.50044,1.16215,0.430615669,12.19189272,-9.517364782,4.925245943
4.59021,6.64699,929.278,0.5298,1.10689,0.478638347,15.49172806,-8.733683145,5.488212467
5.43889,6.29847,664.428,0.50736,1.11326,0.455742594,11.19802134,-9.918365822,4.454018912
6.88163,13.37732,2601.94,0.74408,0.804279,0.925151595,8.873841846,-9.307806888,5.034627816
5.0609,12.13124,2130.9,0.69536,0.908718,0.765209889,10.60444494,-9.221757134,5.165665702
8.11021,14.70209,3347.01,0.81698,0.628556,1.299772813,5.051888453,-9.216721408,5.138396037
15.85622,20.5205,4866.62,0.89086,0.295002,3.019843933,3.760384361,-8.580384681,5.307965057
10.92309,21.62414,4183.97,0.85002,0.435607,1.951346053,6.708131535,-8.853814585,5.238090597
6.60024,18.23438,3371.44,0.76974,0.629251,1.223263849,7.993617246,-8.908421032,5.339523813
6.71346,18.07263,3391.08,0.77286,0.63164,1.223576721,8.273384598,-8.893722114,5.368819039
13.33904,27.33782,6255.09,0.89344,0.238777,3.741733919,3.949855439,-8.458024625,5.384944997
12.17426,24.55082,4551.51,0.87,0.377577,2.304165773,5.622868122,-8.691479248,5.359049747
9.07611,10.5421,3367.6,0.73488,0.632077,1.162643159,9.718882145,-9.130301424,5.134570631
8.80719,10.21446,3268.72,0.72402,0.655338,1.104803933,10.25867844,-9.188307129,5.086069406
8.70819,10.15021,3321.14,0.72628,0.656268,1.106682026,10.19275584,-9.173172276,5.084953496
4.10445,5.76724,869.785,0.50398,1.26343,0.398898237,15.15847978,-8.688792991,5.698576562
5.00855,5.72682,774.948,0.49644,1.28062,0.387655979,14.35768462,-9.209192648,5.030187957
3.91364,4.43355,405.691,0.48232,1.23763,0.389712596,20.373245,-8.538496486,5.372986381
3.76596,5.54673,215.634,0.46628,1.63796,0.284671176,14.40413389,-9.396089917,5.272021366
3.76943,5.50949,213.902,0.46626,1.63796,0.284658966,14.39750793,-9.295755863,5.311159513
