PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CO2-1 bar (mol/kg)
17.693,17.845,1071.29,0.562,3.38E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.582
29.696,29.862,1718.32,0.687,6.71E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.700
28.010,28.091,1283.02,0.619,4.80E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.498
10.021,10.479,1015.62,0.522,3.26E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.557
10.072,10.592,839.121,0.539,5.58E-05,57.14285714,0,14.28571429,0,0,0.285714286,2.401
19.103,19.354,1665.31,0.659,6.13E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.632
15.706,15.851,1211.27,0.584,4.17E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.430
35.229,35.298,1787.08,0.769,5.19E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.529
10.419,10.824,1023.62,0.542,1.92E-05,57.14285714,28.57142857,14.28571429,0,0,0,1.216
10.660,10.918,936.39,0.532,7.80E-05,57.14285714,25.3968254,14.28571429,0,0,0.031746032,1.894
10.944,11.222,922.574,0.540,4.49E-03,57.14285714,22.22222222,14.28571429,0,0,0.063492063,2.216
10.588,10.839,839.27,0.521,9.15E-04,57.14285714,19.04761905,14.28571429,0,0,0.095238095,2.651
9.334,9.936,748.591,0.507,3.99E-05,57.14285714,15.87301587,14.28571429,0,0,0.126984127,2.783
10.585,11.042,769.758,0.526,2.10E-05,57.14285714,12.6984127,14.28571429,0,0,0.158730159,1.470
9.888,10.090,692.034,0.503,8.76E-05,57.14285714,9.523809524,14.28571429,0,0,0.19047619,3.067
11.599,11.786,817.662,0.554,9.09E-04,57.14285714,6.349206349,14.28571429,0,0,0.222222222,1.919
8.962,9.175,927.146,0.531,6.31E-05,57.14285714,22.22222222,14.28571429,0,0,0.063492063,2.186
9.407,10.054,862.348,0.543,1.86E-03,57.14285714,15.87301587,14.28571429,0,0,0.126984127,2.631
8.362,9.113,777.498,0.514,1.84E-03,57.14285714,12.6984127,14.28571429,0,0,0.158730159,3.858
9.156,9.375,812.757,0.536,1.39E-04,57.14285714,9.523809524,14.28571429,0,0,0.19047619,3.020
10.400,10.873,892.703,0.574,9.33E-04,57.14285714,0,14.28571429,0,0,0.285714286,1.984
18.067,18.365,1712.04,0.674,7.20E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.806
18.868,19.065,1677.76,0.669,7.83E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.871
17.352,17.577,1592.65,0.657,8.62E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.781
16.913,17.083,1519.49,0.646,8.45E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.765
18.096,18.215,1516.18,0.640,7.27E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.827
18.112,18.191,1494.47,0.632,7.01E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.793
16.878,17.146,1448.77,0.626,8.02E-06,62.5,30,7.5,0,0,0,0.720
16.488,16.830,1415.36,0.613,7.66E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.682
16.888,16.951,1597.34,0.664,8.39E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.731
16.388,16.476,1565.69,0.653,8.18E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.712
17.810,18.018,1477.27,0.650,7.73E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.680
17.466,17.752,1462.33,0.643,7.70E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.681
17.735,18.044,1478.69,0.643,6.63E-06,62.5,30,7.5,0,0,0,0.668
15.874,15.929,1425.56,0.622,7.50E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.654
17.440,17.784,1311.26,0.619,7.15E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.624
17.333,17.660,1315,0.610,7.08E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.611
20.804,20.927,716.705,0.571,1.02E-04,57.14285714,12.24489796,14.28571429,0,0,0.163265306,1.589
21.741,21.878,687.545,0.568,2.55E-04,57.14285714,24.48979592,14.28571429,0,0,0.040816327,1.959
22.106,22.165,846.692,0.594,4.76E-05,57.14285714,8.163265306,14.28571429,0,0,0.204081633,1.679
22.638,22.736,761.69,0.573,9.05E-05,57.14285714,20.40816327,14.28571429,0,0,0.081632653,1.541
21.151,21.672,865.487,0.611,1.08E-04,57.14285714,4.081632653,14.28571429,0,0,0.244897959,2.564
22.550,22.649,619.43,0.565,1.27E-03,57.14285714,16.32653061,14.28571429,0,0,0.12244898,1.897
22.390,22.621,924.66,0.612,1.04E-04,57.14285714,0,14.28571429,0,0,0.285714286,2.747
35.374,35.560,1755.2,0.704,7.62E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.778
35.670,35.844,1697.85,0.694,8.05E-06,59.30232558,32.55813953,8.139534884,0,0,0,0.825
36.022,36.150,1621.97,0.685,7.48E-06,60.22727273,31.81818182,7.954545455,0,0,0,0.774
35.750,35.833,1339.96,0.656,5.31E-06,63.54166667,29.16666667,7.291666667,0,0,0,0.553
36.676,36.749,1556.39,0.684,7.38E-06,61.11111111,31.11111111,7.777777778,0,0,0,0.752
35.649,35.787,1255.03,0.647,5.24E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.542
