PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
17.693,17.845,1071.29,0.562,3.66E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.037
29.696,29.862,1718.32,0.687,5.73E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.057
28.01,28.091,1283.02,0.619,3.89E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.039
10.021,10.479,1015.62,0.522,3.21E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.032
10.072,10.592,839.121,0.539,2.80E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.028
19.103,19.354,1665.31,0.659,5.06E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.051
15.706,15.851,1211.27,0.584,3.24E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.032
35.229,35.298,1787.08,0.769,7.31E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.073
10.419,10.824,1023.62,0.542,3.25E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.032
10.66,10.918,936.39,0.532,3.16E-07,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.031
10.944,11.222,922.574,0.54,3.11E-07,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.031
10.588,10.839,839.27,0.521,2.70E-07,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.027
9.334,9.936,748.591,0.507,2.25E-07,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.022
10.585,11.042,769.758,0.526,2.38E-07,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.024
9.888,10.09,692.034,0.503,2.23E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.022
11.599,11.786,817.662,0.554,2.94E-07,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.029
8.962,9.175,927.146,0.531,2.99E-07,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.03
9.407,10.054,862.348,0.543,3.26E-07,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.032
8.362,9.113,777.498,0.514,2.82E-07,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.028
9.156,9.375,812.757,0.536,2.85E-07,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.028
10.4,10.873,892.703,0.574,3.23E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.032
18.067,18.365,1712.04,0.674,5.39E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.054
18.868,19.065,1677.76,0.669,5.29E-07,59.09090909,32.72727273,8.181818182,0,0,0,0.053
17.352,17.577,1592.65,0.657,4.88E-07,59.82142857,32.14285714,8.035714286,0,0,0,0.049
16.913,17.083,1519.49,0.646,4.59E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.046
18.096,18.215,1516.18,0.64,4.55E-07,61.20689655,31.03448276,7.75862069,0,0,0,0.045
18.112,18.191,1494.47,0.632,4.35E-07,61.86440678,30.50847458,7.627118644,0,0,0,0.043
16.878,17.146,1448.77,0.626,4.15E-07,62.5,30,7.5,0,0,0,0.041
16.488,16.83,1415.36,0.613,3.89E-07,63.1147541,29.50819672,7.37704918,0,0,0,0.039
16.888,16.951,1597.34,0.664,5.12E-07,59.82142857,32.14285714,8.035714286,0,0,0,0.051
16.388,16.476,1565.69,0.653,4.85E-07,60.52631579,31.57894737,7.894736842,0,0,0,0.047
17.81,18.018,1477.27,0.65,4.67E-07,61.20689655,31.03448276,7.75862069,0,0,0,0.047
17.466,17.752,1462.33,0.643,4.49E-07,61.86440678,30.50847458,7.627118644,0,0,0,0.045
17.735,18.044,1478.69,0.643,4.47E-07,62.5,30,7.5,0,0,0,0.044
15.874,15.929,1425.56,0.622,4.11E-07,63.1147541,29.50819672,7.37704918,0,0,0,0.041
17.44,17.784,1311.26,0.619,3.89E-07,63.70967742,29.03225806,7.258064516,0,0,0,0.039
17.333,17.66,1315,0.61,3.78E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.038
20.804,20.927,716.705,0.571,2.81E-07,57.14285714,12.24489796,14.28571429,0,0,0.163265306,0.028
21.741,21.878,687.545,0.568,3.00E-07,57.14285714,24.48979592,14.28571429,0,0,0.040816327,0.03
